145,IMY,146,Isle of Man,6754.0
146,GIN,147,Guinea,6699.0
147,KGZ,148,Kyrgyz Republic,6572.0
148,MWI,149,Malawi,6565.0
149,MDA,150,Moldova,6551.0
150,KSV,151,Kosovo,6386.0
151,SOM,152,Somalia,5953.0
152,BMU,153,Bermuda,5574.0
153,MRT,154,Mauritania,5442.0
154,SUR,155,Suriname,4878.0
155,SLE,156,Sierra Leone,4475.0
156,BRB,157,Barbados,4451.0
157,FJI,158,Fiji,4386.0
158,SWZ,159,Swaziland,4060.0
159,TGO,160,Togo,4003.0
160,MNE,161,Montenegro,3993.0
161,ADO,162,Andorra,3249.0
162,GUY,163,Guyana,3166.0
163,MDV,164,Maldives,3143.0
164,BDI,165,Burundi,3085.0
165,FRO,166,Faroe Islands,2613.0
166,GRL,167,Greenland,2441.0
167,LSO,168,Lesotho,2181.0
168,LBR,169,Liberia,2053.0
169,BTN,170,Bhutan,1962.0
170,BLZ,171,Belize,1763.0
171,CPV,172,Cabo Verde,1630.0
172,DJI,173,Djibouti,1589.0
173,CAF,174,Central African Republic,1503.0
174,SYC,175,Seychelles,1438.0
175,LCA,176,St. Lucia,1436.0
176,TMP,177,Timor-Leste,1412.0
177,ATG,178,Antigua and Barbuda,1297.0
178,SLB,179,Solomon Islands,1157.0
179,GNB,180,Guinea-Bissau,1057.0
180,GRD,181,Grenada,978.0
181,KNA,182,St. Kitts and Nevis,922.0
182,GMB,183,"Gambia, The",851.0
183,VUT,184,Vanuatu,815.0
184,WSM,185,Samoa,761.0
185,VCT,186,St. Vincent and the Grenadines,751.0
186,COM,187,Comoros,624.0
187,DMA,188,Dominica,538.0
188,TON,189,Tonga,434.0
189,STP,190,São Tomé and Principe,337.0
190,FSM,191,"Micronesia, Fed. Sts.",318.0
191,PLW,192,Palau,287.0
192,MHL,193,Marshall Islands,187.0
193,KIR,194,Kiribati,145.0
194,TUV,195,Tuvalu,38.0
195,ASM,,American Samoa,
196,ABW,,Aruba,
197,VGB,,British Virgin Islands,
198,CYM,,Cayman Islands,
199,CHI,,Channel Islands,
200,CUW,,Curaçao,
201,ERI,,Eritrea,
202,PYF,,French Polynesia,
