http://www.textfiles.com/etext/REFERENCE/uscpy76.txt,uscpy76.txt,210073,Project Gutenberg: the US Copyright Act of 1976
http://www.textfiles.com/etext/REFERENCE/wbstr10a.txt,wbstr10a.txt,1536408,"Project Gutenberg: Webster's Unabridged Dictionary, First 100 Pages"
http://www.textfiles.com/etext/REFERENCE/wbstr11a.txt,wbstr11a.txt,1505344,Project Gutenberg: Webster's Unabridged Dictionary
http://www.textfiles.com/etext/REFERENCE/wbstr11b.txt,wbstr11b.txt,1532901,Project Gutenberg: Webster's Unabridged Dictionary
http://www.textfiles.com/etext/REFERENCE/when11.txt,when11.txt,18219,Project Gutenberg: The Declaration of Independence
http://www.textfiles.com/etext/REFERENCE/world12.txt,world12.txt,1925720,Project Gutenberg: The CIA World Factbook
http://www.textfiles.com/etext/REFERENCE/world192.txt,world192.txt,2473400,Project Gutenberg: The World Factbook 1992
http://www.textfiles.com/etext/REFERENCE/world93.txt,world93.txt,2638067,"Project Gutenberg: The World Factbook, US CIA, 1993 Edition"
http://www.textfiles.com/etext/REFERENCE/world94.txt,world94.txt,2872323,Project Gutenberg: 1994 CIA World Factbook
http://www.textfiles.com/etext/REFERENCE/zipdelim.txt,zipdelim.txt,929797,A List of all the US Zip Codes And What Town and State is associated With Them
http://www.textfiles.com/etext/NONFICTION/0paine.txt,0paine.txt,46515,"The Writings of Thomas Paine, Compiled by Moncure Daniel Conway"
http://www.textfiles.com/etext/NONFICTION/analects,analects,155150,"Confucian Analects, by Confucius (500 BC)"
http://www.textfiles.com/etext/NONFICTION/augustine-confessions-276.txt,augustine-confessions-276.txt,972284,"Augustine: Confessions and Enchiridion, Translated by Albert C. Outler"
http://www.textfiles.com/etext/NONFICTION/bacon-essays-92.txt,bacon-essays-92.txt,296995,"The Essays, by Francis Bacon (1601)"
http://www.textfiles.com/etext/NONFICTION/bacon-new-98.txt,bacon-new-98.txt,84800,"INTERNET WIRETAP: The New Atlantis, by Francis Bacon (1626)"
http://www.textfiles.com/etext/NONFICTION/berkeley-three-745.txt,berkeley-three-745.txt,215746,"Three Dialogues Between Hylas and Philonous, by George Berkeley (1713)"
http://www.textfiles.com/etext/NONFICTION/berkeley-treatise-177.txt,berkeley-treatise-177.txt,206500,"A Treatise Concerning the Principles of Human knowledge, by George Berkeley (1710)"
http://www.textfiles.com/etext/NONFICTION/bfaut10.txt,bfaut10.txt,395591,Project Gutenberg: The Autobiography of Benjamin Franklin
http://www.textfiles.com/etext/NONFICTION/bfree10.txt,bfree10.txt,811645,Project Gutenberg: My Bondage and My Freedom by Frederick Douglass
http://www.textfiles.com/etext/NONFICTION/bhagavad,bhagavad,119149,"The Song Celestial, or Bhagavad-Gita (400 BC)"
http://www.textfiles.com/etext/NONFICTION/bwr.txt,bwr.txt,304262,"Is the Bible Worth Reading, an Other Essays, by Lemuel K. Washburn (1911)"
http://www.textfiles.com/etext/NONFICTION/c_govern,c_govern,297713,"Concerning Civil Government, Second Essay: An Essay Concerning the True Original Extent and End of Civil Government, by John Locke (1690)"
http://www.textfiles.com/etext/NONFICTION/common_sense,common_sense,123450,"Common Sense, by Thomas Paine (1776)"
http://www.textfiles.com/etext/NONFICTION/crisis,crisis,445194,"The American Crisis, by Thomas Paine (1780)"
http://www.textfiles.com/etext/NONFICTION/dcart10.txt,dcart10.txt,141533,"Discourse on the Method of Rightly Conducting the Reason, and Seeking Truth in the Sciences, by Rene Descartes"
http://www.textfiles.com/etext/NONFICTION/descartes-discourse-124.txt,descartes-discourse-124.txt,129524,"Discourse on the Method of Rightly Conducting the Reason, and Seeking Truth in the Sciences, by Rene Descartes ("
http://www.textfiles.com/etext/NONFICTION/descartes-meditations-746.txt,descartes-meditations-746.txt,173692,"Meditations on First Philosophy, by Rene Descartes (1641)"
http://www.textfiles.com/etext/NONFICTION/devils.txt,devils.txt,396640,INTERNET WIRETAP: The Devil's Dictionary by Ambrose Bierce
http://www.textfiles.com/etext/NONFICTION/douglass,douglass,227940,"Narrative of the Life of Frederick Douglass, an American Slave, by Himself (1845)"
http://www.textfiles.com/etext/NONFICTION/egypt.txt,egypt.txt,363949,The Papyrus of ANI (The Egyption Book of the Dead) Translated by E.A. Wallis Budge
http://www.textfiles.com/etext/NONFICTION/epictetus-discourses-568.txt,epictetus-discourses-568.txt,613135,"The Discourses, by Epictetus (101)"
http://www.textfiles.com/etext/NONFICTION/epicurus-principal-749.txt,epicurus-principal-749.txt,11748,"ETEXT: Principal Doctrines, by Epicurus"
http://www.textfiles.com/etext/NONFICTION/essays,essays,296626,"The Essays, by Francis Bacon (1601)"
http://www.textfiles.com/etext/NONFICTION/faculties,faculties,248020,"On the Natural Faculties, by Galen (170 AD)"
http://www.textfiles.com/etext/NONFICTION/franklin-autobiography-244.txt,franklin-autobiography-244.txt,378607,The Autobiography of Benjamin Franklin (1909) (1994 Edition)
http://www.textfiles.com/etext/NONFICTION/franklin-boston-245.txt,franklin-boston-245.txt,144042,"Boston and Jondon, by Benjamin Franklin (1722-1726)"
http://www.textfiles.com/etext/NONFICTION/franklin-london-246.txt,franklin-london-246.txt,851974,"London 1757-1775, by Benjamin Franklin"
http://www.textfiles.com/etext/NONFICTION/franklin-paris-247.txt,franklin-paris-247.txt,406935,"Paris 1776-1785, by Benjamin Franklin"
http://www.textfiles.com/etext/NONFICTION/franklin-philadelphia-248.txt,franklin-philadelphia-248.txt,865715,"Philadelphia 1726-1757, by Benjamin Franklin"
http://www.textfiles.com/etext/NONFICTION/franklin-philadelphia-249.txt,franklin-philadelphia-249.txt,142229,Philadelphia 1785-1790 by Benjamin Franklin
http://www.textfiles.com/etext/NONFICTION/franklin-poor-250.txt,franklin-poor-250.txt,16935,"Poor Richard Improved, by Benjamin Franklin (1748)"
http://www.textfiles.com/etext/NONFICTION/freud-young-763.txt,freud-young-763.txt,478567,PROJECT GUTENBERG: A Young Girl's Diary: Prefaced with a Letter by Sigmund Freud
http://www.textfiles.com/etext/NONFICTION/getty11.txt,getty11.txt,10105,Project Gutenberg: Lincoln's Gettysburg Address
http://www.textfiles.com/etext/NONFICTION/gospel,gospel,372787,"Buddha, The Gospel (500 BC)"
http://www.textfiles.com/etext/NONFICTION/hamilton-federalist-548.txt,hamilton-federalist-548.txt,1174684,"The Federalist No. 1, by Hamilton"
http://www.textfiles.com/etext/NONFICTION/hobbes-leviathan-66.txt,hobbes-leviathan-66.txt,1169724,"Leviathan, by Thomas Hobbes (1651)"
http://www.textfiles.com/etext/NONFICTION/hume-dialogues-732.txt,hume-dialogues-732.txt,260369,"Dialogues Concerning Natural Religion, by David Hume (1779)"
http://www.textfiles.com/etext/NONFICTION/hume-enquiry-65.txt,hume-enquiry-65.txt,311275,"An Enquiry Concerning Human Understanding, by David Hume (1748)"
